Language_Name,Lexeme,Meaning,Cognate_Set,Latitude,Longitude,Subfamily
Proto-Uralic*,*tuli̮,fire,a,NA,NA,(reconstr.)
South Saami,dålle,fire,a,62.8801,13.7006,Saami
Ume Saami,dålla,fire,a,64.6383,18.646,Saami
Pite Saami,dållå,fire,a,66.4011,17.4261,Saami
North Saami,dolla,fire,a,68.725,22.1113,Saami
Inari Saami,tulla,fire,a,69.4229,27.8658,Saami
Skolt Saami,toll,fire,a,68.8326,29.7204,Saami
Kildin Saami,tōll,fire,a,68.2158,35.8348,Saami
Standard Finnish,tuli,fire,a,64.7628,25.5577,Finnic
Karelian Proper,tuli,fire,a,65.1691,30.8655,Finnic
Veps,lʹämoi,fire,b,60.3353,34.7865,Finnic
Veps,tulʹi,fire,a,60.3353,34.7865,Finnic
Ingrian,tuli,fire,a,59.47403,29.71145,Finnic
Western Votic,tuli,fire,a,NA,NA,Finnic
Standard Estonian,tuli,fire,a,58.55,25.82,Finnic
Võro South Estonian,tuli,fire,a,57.85,27,Finnic
Courland Livonian,tuʾlʹ,fire,a,NA,NA,Finnic
Erzya,tol,fire,a,52.8548,45.3901,Mordvin
Meadow Mari,tul,fire,a,55.8307,48.405,Mari
Komi-Zyrian,bi,fire,c,64.0527,54.946,Permic
Komi-Permyak,bi,fire,c,59.6602,54.7959,Permic
Udmurt,ti̮l,fire,a,56.12921,52.63548,Permic
Hungarian,tűz,fire,d,46.9068585714,19.6555271429,Ugric
Sosva Mansi,nāj,fire,f,NA,NA,Ugric
Sosva Mansi,ulʹa,fire,e,NA,NA,Ugric
Vakh-Vasyugan Khanty,tö̆ɣət,fire,d,60.10378,79.873651,Ugric
Nganasan,tuj,fire,a,73.1354,86.2106,Samoyed
Tundra Nenets,tu,fire,a,66.1775,71.0234,Samoyed
Selkup,tǖ,fire,a,65.7035,82.4441,Samoyed
Proto-Uralic*,*ńäri ?,nose,c,NA,NA,(reconstr.)
South Saami,njuenie,nose,a,62.8801,13.7006,Saami
Ume Saami,njüennee,nose,a,64.6383,18.646,Saami
Pite Saami,njuonne,nose,a,66.4011,17.4261,Saami
North Saami,njunni,nose,a,68.725,22.1113,Saami
Inari Saami,njune,nose,a,69.4229,27.8658,Saami
Skolt Saami,njuuʹnn,nose,a,68.8326,29.7204,Saami
Kildin Saami,njunn’,nose,a,68.2158,35.8348,Saami
Standard Finnish,nenä,nose,a,64.7628,25.5577,Finnic
Karelian Proper,nenä,nose,a,65.1691,30.8655,Finnic
Veps,ńena,nose,a,60.3353,34.7865,Finnic
Ingrian,nenä,nose,a,59.47403,29.71145,Finnic
Western Votic,nenä,nose,a,NA,NA,Finnic
Standard Estonian,nina,nose,a,58.55,25.82,Finnic
Võro South Estonian,nõna,nose,a,57.85,27,Finnic
Courland Livonian,nanà,nose,a,NA,NA,Finnic
Erzya,sudo,nose,b,52.8548,45.3901,Mordvin
Meadow Mari,ner,nose,c,55.8307,48.405,Mari
Komi-Zyrian,ni̮r,nose,c,64.0527,54.946,Permic
Komi-Permyak,ni̮r,nose,c,59.6602,54.7959,Permic
Udmurt,ni̮r,nose,c,56.12921,52.63548,Permic
Hungarian,orr,nose,d,46.9068585714,19.6555271429,Ugric
Sosva Mansi,ńol,nose,e,NA,NA,Ugric
Vakh-Vasyugan Khanty,ńŏl,nose,e,60.10378,79.873651,Ugric
Nganasan,ŋüŋkə,nose,g,73.1354,86.2106,Samoyed
Tundra Nenets,piya,nose,f,66.1775,71.0234,Samoyed
Selkup,pućə,nose,f,65.7035,82.4441,Samoyed
Proto-Uralic*,*meni-,go,a,NA,NA,(reconstr.)
South Saami,juhtedh,go,h,62.8801,13.7006,Saami
South Saami,mïnnedh,go,a,62.8801,13.7006,Saami
Ume Saami,mannat,go,a,64.6383,18.646,Saami
Pite Saami,mannat,go,a,66.4011,17.4261,Saami
North Saami,mannat,go,a,68.725,22.1113,Saami
Inari Saami,moonnađ,go,a,69.4229,27.8658,Saami
Skolt Saami,mõõnnâd,go,a,68.8326,29.7204,Saami
Kildin Saami,mēnne,go,a,68.2158,35.8348,Saami
Standard Finnish,mennä,go,a,64.7628,25.5577,Finnic
Karelian Proper,männä,go,a,65.1691,30.8655,Finnic
Veps,mändä,go,a,60.3353,34.7865,Finnic
Ingrian,männä,go,a,59.47403,29.71145,Finnic
Western Votic,lähtemä,go,b,NA,NA,Finnic
Western Votic,menemä,go,a,NA,NA,Finnic
Standard Estonian,lähe- ~ läi- ~ läk-,go,b,58.55,25.82,Finnic
Standard Estonian,minna,go,a,58.55,25.82,Finnic
Võro South Estonian,lätt,go,b,57.85,27,Finnic
Võro South Estonian,minemä,go,a,57.85,27,Finnic
Courland Livonian,lǟʾdə,go,b,NA,NA,Finnic
Erzya,molʹems,go,d,52.8548,45.3901,Mordvin
Meadow Mari,kajem,go,e,55.8307,48.405,Mari
Meadow Mari,mijem,go,a,55.8307,48.405,Mari
Komi-Zyrian,munni̮,go,a,64.0527,54.946,Permic
Komi-Permyak,munni̮,go,a,59.6602,54.7959,Permic
Udmurt,mi̮ni̮ni̮,go,a,56.12921,52.63548,Permic
Hungarian,megy,go,a,46.9068585714,19.6555271429,Ugric
Sosva Mansi,jōmi,go,f,NA,NA,Ugric
Sosva Mansi,mīni ~ mini,go,a,NA,NA,Ugric
Vakh-Vasyugan Khanty,jǝl-,go,c,60.10378,79.873651,Ugric
Vakh-Vasyugan Khanty,mən-,go,a,60.10378,79.873651,Ugric
Nganasan,mi̮nsi̮,go,a,73.1354,86.2106,Samoyed
Tundra Nenets,myincy°,go,a,66.1775,71.0234,Samoyed
Selkup,quə̑n-,go,g,65.7035,82.4441,Samoyed
Proto-Uralic*,*weti,water,a,NA,NA,(reconstr.)
South Saami,tjaetsie,water,b,62.8801,13.7006,Saami
Ume Saami,tjaahtsee,water,b,64.6383,18.646,Saami
Pite Saami,tjáhtse,water,b,66.4011,17.4261,Saami
North Saami,čáhci,water,b,68.725,22.1113,Saami
Inari Saami,čääci,water,b,69.4229,27.8658,Saami
Skolt Saami,čääʹcc,water,b,68.8326,29.7204,Saami
Kildin Saami,čāʒ’,water,b,68.2158,35.8348,Saami
Standard Finnish,vesi,water,a,64.7628,25.5577,Finnic
Karelian Proper,vesi,water,a,65.1691,30.8655,Finnic
Veps,vezi,water,a,60.3353,34.7865,Finnic
Ingrian,vezi,water,a,59.47403,29.71145,Finnic
Western Votic,vesi,water,a,NA,NA,Finnic
Standard Estonian,vesi,water,a,58.55,25.82,Finnic
Võro South Estonian,vesi,water,a,57.85,27,Finnic
Courland Livonian,veiʾž ~ veʾžʹ,water,a,NA,NA,Finnic
Erzya,vedʹ,water,a,52.8548,45.3901,Mordvin
Meadow Mari,βüt,water,a,55.8307,48.405,Mari
Komi-Zyrian,va,water,a,64.0527,54.946,Permic
Komi-Permyak,va,water,a,59.6602,54.7959,Permic
Udmurt,vu,water,a,56.12921,52.63548,Permic
Hungarian,víz,water,a,46.9068585714,19.6555271429,Ugric
Sosva Mansi,wit,water,a,NA,NA,Ugric
Vakh-Vasyugan Khanty,jəŋk,water,c,60.10378,79.873651,Ugric
Nganasan,bi̮ˀ,water,a,73.1354,86.2106,Samoyed
Tundra Nenets,yiq,water,a,66.1775,71.0234,Samoyed
Selkup,üt,water,a,65.7035,82.4441,Samoyed
Proto-Uralic*,*aŋi̮,mouth,e,NA,NA,(reconstr.)
South Saami,njaelmie,mouth,b,62.8801,13.7006,Saami
Ume Saami,njàlˈbmee,mouth,b,64.6383,18.646,Saami
Pite Saami,njálbme,mouth,b,66.4011,17.4261,Saami
North Saami,njálbmi,mouth,b,68.725,22.1113,Saami
Inari Saami,njälmi,mouth,b,69.4229,27.8658,Saami
Skolt Saami,njäʹlmm,mouth,b,68.8326,29.7204,Saami
Kildin Saami,njāll’m,mouth,b,68.2158,35.8348,Saami
Standard Finnish,suu,mouth,a,64.7628,25.5577,Finnic
Karelian Proper,suu,mouth,a,65.1691,30.8655,Finnic
Veps,su,mouth,a,60.3353,34.7865,Finnic
Ingrian,sū,mouth,a,59.47403,29.71145,Finnic
Western Votic,sū,mouth,a,NA,NA,Finnic
Standard Estonian,suu,mouth,a,58.55,25.82,Finnic
Võro South Estonian,suu,mouth,a,57.85,27,Finnic
Courland Livonian,sū,mouth,a,NA,NA,Finnic
Erzya,kurgo,mouth,c,52.8548,45.3901,Mordvin
Meadow Mari,umša,mouth,d,55.8307,48.405,Mari
Komi-Zyrian,vom,mouth,e,64.0527,54.946,Permic
Komi-Permyak,e̮m,mouth,e,59.6602,54.7959,Permic
Udmurt,i̮m,mouth,e,56.12921,52.63548,Permic
Hungarian,száj,mouth,a,46.9068585714,19.6555271429,Ugric
Sosva Mansi,sūp,mouth,a,NA,NA,Ugric
Sosva Mansi,tūs,mouth,f,NA,NA,Ugric
Vakh-Vasyugan Khanty,lul,mouth,g,60.10378,79.873651,Ugric
Nganasan,ŋaŋ,mouth,e,73.1354,86.2106,Samoyed
Tundra Nenets,nyah,mouth,e,66.1775,71.0234,Samoyed
Selkup,āŋ,mouth,e,65.7035,82.4441,Samoyed
Proto-Uralic*,*käli,tongue,a,NA,NA,(reconstr.)
South Saami,njoektjeme,tongue,b,62.8801,13.7006,Saami
Ume Saami,"njuaktjoo, njuaktjama",tongue,b,64.6383,18.646,Saami
Pite Saami,njuoktjam,tongue,b,66.4011,17.4261,Saami
North Saami,njuovčča,tongue,b,68.725,22.1113,Saami
Inari Saami,njuovča,tongue,b,69.4229,27.8658,Saami
Skolt Saami,njuhččâm,tongue,b,68.8326,29.7204,Saami
Kildin Saami,njuxčem’,tongue,b,68.2158,35.8348,Saami
Standard Finnish,kieli,tongue,a,64.7628,25.5577,Finnic
Karelian Proper,kieli,tongue,a,65.1691,30.8655,Finnic
Veps,kelʹ,tongue,a,60.3353,34.7865,Finnic
Ingrian,kēli,tongue,a,59.47403,29.71145,Finnic
Western Votic,tšēli,tongue,a,NA,NA,Finnic
Standard Estonian,keel,tongue,a,58.55,25.82,Finnic
Võro South Estonian,kiil',tongue,a,57.85,27,Finnic
Courland Livonian,kēlʹ,tongue,a,NA,NA,Finnic
Erzya,kelʹ,tongue,a,52.8548,45.3901,Mordvin
Meadow Mari,jə̑lme,tongue,c,55.8307,48.405,Mari
Komi-Zyrian,ki̮v,tongue,a,64.0527,54.946,Permic
Komi-Permyak,ki̮v,tongue,a,59.6602,54.7959,Permic
Udmurt,ki̮l,tongue,a,56.12921,52.63548,Permic
Hungarian,nyelv,tongue,c,46.9068585714,19.6555271429,Ugric
Sosva Mansi,ńēləm ~ ńēlm,tongue,c,NA,NA,Ugric
Vakh-Vasyugan Khanty,ńäləm,tongue,c,60.10378,79.873651,Ugric
Nganasan,śiədʹə,tongue,a,73.1354,86.2106,Samoyed
Tundra Nenets,nya°myu,tongue,d,66.1775,71.0234,Samoyed
Selkup,śē,tongue,a,65.7035,82.4441,Samoyed
Proto-Uralic*,*weri,blood,a,NA,NA,(reconstr.)
South Saami,vïrre,blood,a,62.8801,13.7006,Saami
Ume Saami,varra,blood,a,64.6383,18.646,Saami
Pite Saami,varra,blood,a,66.4011,17.4261,Saami
North Saami,varra,blood,a,68.725,22.1113,Saami
Inari Saami,vorra,blood,a,69.4229,27.8658,Saami
Skolt Saami,võrr,blood,a,68.8326,29.7204,Saami
Kildin Saami,vērr,blood,a,68.2158,35.8348,Saami
Standard Finnish,veri,blood,a,64.7628,25.5577,Finnic
Karelian Proper,veri,blood,a,65.1691,30.8655,Finnic
Veps,veŕi,blood,a,60.3353,34.7865,Finnic
Ingrian,veri,blood,a,59.47403,29.71145,Finnic
Western Votic,veri,blood,a,NA,NA,Finnic
Standard Estonian,veri,blood,a,58.55,25.82,Finnic
Võro South Estonian,veri,blood,a,57.85,27,Finnic
Courland Livonian,veʾr,blood,a,NA,NA,Finnic
Erzya,veŕ,blood,a,52.8548,45.3901,Mordvin
Meadow Mari,βür,blood,a,55.8307,48.405,Mari
Komi-Zyrian,vir,blood,a,64.0527,54.946,Permic
Komi-Permyak,vir,blood,a,59.6602,54.7959,Permic
Udmurt,vir,blood,a,56.12921,52.63548,Permic
Hungarian,vér,blood,a,46.9068585714,19.6555271429,Ugric
Sosva Mansi,kēlp,blood,b,NA,NA,Ugric
Sosva Mansi,wiɣər,blood,a,NA,NA,Ugric
Vakh-Vasyugan Khanty,wər,blood,a,60.10378,79.873651,Ugric
Nganasan,kam,blood,c,73.1354,86.2106,Samoyed
Tundra Nenets,weya,blood,d,66.1775,71.0234,Samoyed
Selkup,ke̮m,blood,c,65.7035,82.4441,Samoyed
Proto-Uralic*,*luwi̮,bone,a,NA,NA,(reconstr.)
South Saami,måaroe,bone,g,62.8801,13.7006,Saami
Ume Saami,dàktee,bone,c,64.6383,18.646,Saami
Pite Saami,dákkte,bone,c,66.4011,17.4261,Saami
North Saami,dákti,bone,c,68.725,22.1113,Saami
Inari Saami,tähti,bone,c,69.4229,27.8658,Saami
Skolt Saami,täʹhtt,bone,c,68.8326,29.7204,Saami
Kildin Saami,tāxx’t,bone,c,68.2158,35.8348,Saami
Standard Finnish,luu,bone,a,64.7628,25.5577,Finnic
Karelian Proper,luu,bone,a,65.1691,30.8655,Finnic
Veps,lu,bone,a,60.3353,34.7865,Finnic
Ingrian,lū,bone,a,59.47403,29.71145,Finnic
Western Votic,лū,bone,a,NA,NA,Finnic
Standard Estonian,kont,bone,b,58.55,25.82,Finnic
Standard Estonian,luu,bone,a,58.55,25.82,Finnic
Võro South Estonian,luu,bone,a,57.85,27,Finnic
Courland Livonian,lū,bone,a,NA,NA,Finnic
Erzya,lovaža,bone,a,52.8548,45.3901,Mordvin
Erzya,pakaŕ,bone,d,52.8548,45.3901,Mordvin
Meadow Mari,lu,bone,a,55.8307,48.405,Mari
Komi-Zyrian,li̮,bone,a,64.0527,54.946,Permic
Komi-Permyak,koska,bone,f,59.6602,54.7959,Permic
Komi-Permyak,li̮,bone,a,59.6602,54.7959,Permic
Udmurt,li̮,bone,a,56.12921,52.63548,Permic
Hungarian,csont,bone,e,46.9068585714,19.6555271429,Ugric
Sosva Mansi,luw,bone,a,NA,NA,Ugric
Vakh-Vasyugan Khanty,lŏɣ- ~ lŏχ-,bone,a,60.10378,79.873651,Ugric
Nganasan,latə̄,bone,a,73.1354,86.2106,Samoyed
Tundra Nenets,li,bone,a,66.1775,71.0234,Samoyed
Selkup,lī̮,bone,a,65.7035,82.4441,Samoyed
Proto-Uralic*,*wanča,root,d,NA,NA,(reconstr.)
South Saami,roehtse,root,b,62.8801,13.7006,Saami
Ume Saami,ruahdas,root,b,64.6383,18.646,Saami
Pite Saami,ruohtas,root,b,66.4011,17.4261,Saami
North Saami,ruohtas,root,b,68.725,22.1113,Saami
Inari Saami,ruotas,root,b,69.4229,27.8658,Saami
Skolt Saami,"vuẹʹddes, vuäʹdˈd",root,c,68.8326,29.7204,Saami
Kildin Saami,vuen’tes’,root,c,68.2158,35.8348,Saami
Standard Finnish,juuri,root,a,64.7628,25.5577,Finnic
Karelian Proper,juuri,root,a,65.1691,30.8655,Finnic
Veps,juŕ,root,a,60.3353,34.7865,Finnic
Ingrian,jūri,root,a,59.47403,29.71145,Finnic
Western Votic,jūri,root,a,NA,NA,Finnic
Standard Estonian,juur,root,a,58.55,25.82,Finnic
Võro South Estonian,juur',root,a,57.85,27,Finnic
Courland Livonian,jūŕ,root,a,NA,NA,Finnic
Erzya,jur,root,a,52.8548,45.3901,Mordvin
Erzya,koŕon,root,g,52.8548,45.3901,Mordvin
Erzya,undoks,root,c,52.8548,45.3901,Mordvin
Meadow Mari,βož,root,d,55.8307,48.405,Mari
Komi-Zyrian,vuž,root,d,64.0527,54.946,Permic
Komi-Permyak,vuž,root,d,59.6602,54.7959,Permic
Udmurt,vi̮ži̮,root,d,56.12921,52.63548,Permic
Hungarian,gyökér,root,e,46.9068585714,19.6555271429,Ugric
Sosva Mansi,tār,root,f,NA,NA,Ugric
Vakh-Vasyugan Khanty,ler,root,f,60.10378,79.873651,Ugric
Nganasan,"bəntu, bəntuə, bəndüaiˀ",root,c,73.1354,86.2106,Samoyed
Tundra Nenets,wano,root,d,66.1775,71.0234,Samoyed
Selkup,končə,root,d,65.7035,82.4441,Samoyed
Proto-Uralic*,"*ti-, *tun-",you_sg,a,NA,NA,(reconstr.)
South Saami,datne,you_sg,a,62.8801,13.7006,Saami
Ume Saami,dådˈna,you_sg,a,64.6383,18.646,Saami
Pite Saami,dån,you_sg,a,66.4011,17.4261,Saami
North Saami,don,you_sg,a,68.725,22.1113,Saami
Inari Saami,tun,you_sg,a,69.4229,27.8658,Saami
Skolt Saami,ton,you_sg,a,68.8326,29.7204,Saami
Kildin Saami,tōnn,you_sg,a,68.2158,35.8348,Saami
Standard Finnish,sinä,you_sg,a,64.7628,25.5577,Finnic
Karelian Proper,"sie, sinä",you_sg,a,65.1691,30.8655,Finnic
Veps,"śä, sińä",you_sg,a,60.3353,34.7865,Finnic
Ingrian,siä,you_sg,a,59.47403,29.71145,Finnic
Western Votic,siä,you_sg,a,NA,NA,Finnic
Standard Estonian,"sa, sina",you_sg,a,58.55,25.82,Finnic
Võro South Estonian,"sag, sina, sinno",you_sg,a,57.85,27,Finnic
Courland Livonian,"sa, sinā",you_sg,a,NA,NA,Finnic
Erzya,ton,you_sg,a,52.8548,45.3901,Mordvin
Meadow Mari,tə̑j,you_sg,a,55.8307,48.405,Mari
Komi-Zyrian,te,you_sg,a,64.0527,54.946,Permic
Komi-Permyak,te,you_sg,a,59.6602,54.7959,Permic
Udmurt,ton,you_sg,a,56.12921,52.63548,Permic
Hungarian,te,you_sg,a,46.9068585714,19.6555271429,Ugric
Sosva Mansi,naŋ,you_sg,b,NA,NA,Ugric
Vakh-Vasyugan Khanty,nö̆ŋ,you_sg,b,60.10378,79.873651,Ugric
Nganasan,tənə,you_sg,a,73.1354,86.2106,Samoyed
Tundra Nenets,pidər°,you_sg,c,66.1775,71.0234,Samoyed
Selkup,tan,you_sg,a,65.7035,82.4441,Samoyed
Proto-Uralic*,*tuli̮-,come,a,NA,NA,(reconstr.)
South Saami,båetedh,come,b,62.8801,13.7006,Saami
Ume Saami,bååhteet,come,b,64.6383,18.646,Saami
Pite Saami,båhtet,come,b,66.4011,17.4261,Saami
North Saami,boahtit,come,b,68.725,22.1113,Saami
Inari Saami,poattiđ,come,b,69.4229,27.8658,Saami
Skolt Saami,pueʹtted,come,b,68.8326,29.7204,Saami
Kildin Saami,puedt’e,come,b,68.2158,35.8348,Saami
Standard Finnish,tulla,come,a,64.7628,25.5577,Finnic
Karelian Proper,tulla,come,a,65.1691,30.8655,Finnic
Veps,tulda ~ tūda,come,a,60.3353,34.7865,Finnic
Ingrian,tulla,come,a,59.47403,29.71145,Finnic
Western Votic,tuлe̮ma,come,a,NA,NA,Finnic
Standard Estonian,tulla,come,a,58.55,25.82,Finnic
Võro South Estonian,tulõma,come,a,57.85,27,Finnic
Courland Livonian,tūlda,come,a,NA,NA,Finnic
Erzya,sams,come,c,52.8548,45.3901,Mordvin
Meadow Mari,tolam,come,a,55.8307,48.405,Mari
Komi-Zyrian,lokni̮,come,e,64.0527,54.946,Permic
Komi-Zyrian,voni̮,come,d,64.0527,54.946,Permic
Komi-Permyak,lokni̮,come,e,59.6602,54.7959,Permic
Udmurt,li̮kti̮ni̮,come,e,56.12921,52.63548,Permic
Udmurt,vui̮ni̮,come,d,56.12921,52.63548,Permic
Hungarian,jön,come,f,46.9068585714,19.6555271429,Ugric
Sosva Mansi,juw ~ jiw,come,f,NA,NA,Ugric
Vakh-Vasyugan Khanty,jö̆-,come,f,60.10378,79.873651,Ugric
Vakh-Vasyugan Khanty,jŏχǝt-,come,g,60.10378,79.873651,Ugric
Nganasan,tujśa,come,a,73.1354,86.2106,Samoyed
Tundra Nenets,tosy°,come,a,66.1775,71.0234,Samoyed
Selkup,tǖ-,come,a,65.7035,82.4441,Samoyed
Proto-Uralic*,[Not reconstructable],breast,?,NA,NA,(reconstr.)
South Saami,mïelke,breast,h,62.8801,13.7006,Saami
Ume Saami,vuabˈda,breast,c,64.6383,18.646,Saami
Pite Saami,vuabbda,breast,c,66.4011,17.4261,Saami
North Saami,raddi,breast,a,68.725,22.1113,Saami
Inari Saami,radde,breast,a,69.4229,27.8658,Saami
Skolt Saami,râʹdd,breast,a,68.8326,29.7204,Saami
Kildin Saami,ninnč,breast,n,68.2158,35.8348,Saami
Kildin Saami,rann’t,breast,a,68.2158,35.8348,Saami
Standard Finnish,rinta,breast,a,64.7628,25.5577,Finnic
Karelian Proper,nänni,breast,k,65.1691,30.8655,Finnic
Karelian Proper,rinta,breast,a,65.1691,30.8655,Finnic
Karelian Proper,rynnäs,breast,b,65.1691,30.8655,Finnic
Veps,rind,breast,a,60.3353,34.7865,Finnic
Ingrian,rinᴅa,breast,a,59.47403,29.71145,Finnic
Western Votic,rint,breast,a,NA,NA,Finnic
Standard Estonian,rind,breast,a,58.55,25.82,Finnic
Võro South Estonian,rind ~ rõnd,breast,a,57.85,27,Finnic
Courland Livonian,rīnda,breast,a,NA,NA,Finnic
Erzya,meštʹe,breast,d,52.8548,45.3901,Mordvin
Erzya,"potʹe, potʹetʹ",breast,l,52.8548,45.3901,Mordvin
Meadow Mari,čə̑ze,breast,m,55.8307,48.405,Mari
Meadow Mari,oŋ,breast,e,55.8307,48.405,Mari
Komi-Zyrian,more̮s,breast,f,64.0527,54.946,Permic
Komi-Permyak,moros,breast,f,59.6602,54.7959,Permic
Udmurt,gadʹ,breast,g,56.12921,52.63548,Permic
Hungarian,"mell, mellkas",breast,h,46.9068585714,19.6555271429,Ugric
Sosva Mansi,māɣl,breast,h,NA,NA,Ugric
Vakh-Vasyugan Khanty,möɣəl,breast,h,60.10378,79.873651,Ugric
Nganasan,śinśə,breast,m,73.1354,86.2106,Samoyed
Tundra Nenets,lempara,breast,i,66.1775,71.0234,Samoyed
Selkup,kī̮lə,breast,j,65.7035,82.4441,Samoyed
Proto-Uralic*,*śaδa-,rain,a,NA,NA,(reconstr.)
South Saami,ebrie,rain,c,62.8801,13.7006,Saami
Ume Saami,ràssjoo,rain,d,64.6383,18.646,Saami
Pite Saami,rássjo,rain,d,66.4011,17.4261,Saami
North Saami,arvi,rain,c,68.725,22.1113,Saami
Inari Saami,arve,rain,c,69.4229,27.8658,Saami
Skolt Saami,âʹbrr,rain,c,68.8326,29.7204,Saami
Kildin Saami,ābb’r,rain,c,68.2158,35.8348,Saami
Standard Finnish,"sade, sataa",rain,a,64.7628,25.5577,Finnic
Karelian Proper,saje(h),rain,a,65.1691,30.8655,Finnic
Karelian Proper,"vihma, vihmuo",rain,b,65.1691,30.8655,Finnic
Veps,sadada,rain,a,60.3353,34.7865,Finnic
Veps,vihm,rain,b,60.3353,34.7865,Finnic
Ingrian,sae,rain,a,59.47403,29.71145,Finnic
Ingrian,vihma,rain,b,59.47403,29.71145,Finnic
Western Votic,vihm,rain,b,NA,NA,Finnic
Standard Estonian,sadada,rain,a,58.55,25.82,Finnic
Standard Estonian,vihm,rain,b,58.55,25.82,Finnic
Võro South Estonian,vihm,rain,b,57.85,27,Finnic
Courland Livonian,"saʾd, saʾddə",rain,a,NA,NA,Finnic
Courland Livonian,vīʾm,rain,b,NA,NA,Finnic
Erzya,"piźems, piźeme",rain,e,52.8548,45.3901,Mordvin
Meadow Mari,jür,rain,f,55.8307,48.405,Mari
Komi-Zyrian,"zer, zerni̮",rain,g,64.0527,54.946,Permic
Komi-Permyak,zer,rain,g,59.6602,54.7959,Permic
Udmurt,zor,rain,g,56.12921,52.63548,Permic
Hungarian,eső,rain,h,46.9068585714,19.6555271429,Ugric
Sosva Mansi,rakw,rain,i,NA,NA,Ugric
Vakh-Vasyugan Khanty,ḷăwətʹ,rain,j,60.10378,79.873651,Ugric
Nganasan,sorua,rain,a,73.1354,86.2106,Samoyed
Tundra Nenets,saryo,rain,a,66.1775,71.0234,Samoyed
Selkup,sorənčä,rain,a,65.7035,82.4441,Samoyed
Proto-Uralic*,"*min-, *mun-",I,a,NA,NA,(reconstr.)
South Saami,manne,I,a,62.8801,13.7006,Saami
Ume Saami,månna,I,a,64.6383,18.646,Saami
Pite Saami,mån/iv/-iv,I,a,66.4011,17.4261,Saami
North Saami,mun,I,a,68.725,22.1113,Saami
Inari Saami,mun,I,a,69.4229,27.8658,Saami
Skolt Saami,mon,I,a,68.8326,29.7204,Saami
Kildin Saami,munn,I,a,68.2158,35.8348,Saami
Standard Finnish,minä,I,a,64.7628,25.5577,Finnic
Karelian Proper,mie,I,a,65.1691,30.8655,Finnic
Veps,mińa ~ mä,I,a,60.3353,34.7865,Finnic
Ingrian,miä,I,a,59.47403,29.71145,Finnic
Western Votic,miä,I,a,NA,NA,Finnic
Standard Estonian,mina ~ ma,I,a,58.55,25.82,Finnic
Võro South Estonian,"maq, mina, minno",I,a,57.85,27,Finnic
Courland Livonian,ma,I,a,NA,NA,Finnic
Erzya,mon,I,a,52.8548,45.3901,Mordvin
Meadow Mari,mə̑j,I,a,55.8307,48.405,Mari
Komi-Zyrian,me,I,a,64.0527,54.946,Permic
Komi-Permyak,me,I,a,59.6602,54.7959,Permic
Udmurt,mon,I,a,56.12921,52.63548,Permic
Hungarian,én,I,a,46.9068585714,19.6555271429,Ugric
Sosva Mansi,am,I,a,NA,NA,Ugric
Vakh-Vasyugan Khanty,mä,I,a,60.10378,79.873651,Ugric
Nganasan,mənə,I,a,73.1354,86.2106,Samoyed
Tundra Nenets,məny°,I,a,66.1775,71.0234,Samoyed
Selkup,man,I,a,65.7035,82.4441,Samoyed
Proto-Uralic*,*täji,louse,a,NA,NA,(reconstr.)
South Saami,dihkie,louse,a,62.8801,13.7006,Saami
Ume Saami,dihkee,louse,a,64.6383,18.646,Saami
Pite Saami,dihke,louse,a,66.4011,17.4261,Saami
North Saami,dihkki,louse,a,68.725,22.1113,Saami
Inari Saami,tikke,louse,a,69.4229,27.8658,Saami
Skolt Saami,teʹǩǩ,louse,a,68.8326,29.7204,Saami
Kildin Saami,tɨhk’,louse,a,68.2158,35.8348,Saami
Standard Finnish,täi,louse,a,64.7628,25.5577,Finnic
Karelian Proper,täi,louse,a,65.1691,30.8655,Finnic
Veps,tʹäi,louse,a,60.3353,34.7865,Finnic
Ingrian,täi,louse,a,59.47403,29.71145,Finnic
Western Votic,täi,louse,a,NA,NA,Finnic
Standard Estonian,täi,louse,a,58.55,25.82,Finnic
Võro South Estonian,täi,louse,a,57.85,27,Finnic
Courland Livonian,teì,louse,a,NA,NA,Finnic
Erzya,elʹi,louse,b,52.8548,45.3901,Mordvin
Meadow Mari,tij,louse,a,55.8307,48.405,Mari
Komi-Zyrian,toj,louse,a,64.0527,54.946,Permic
Komi-Permyak,toj,louse,a,59.6602,54.7959,Permic
Udmurt,tej,louse,a,56.12921,52.63548,Permic
Hungarian,tetű,louse,a,46.9068585714,19.6555271429,Ugric
Sosva Mansi,tākəm,louse,a,NA,NA,Ugric
Vakh-Vasyugan Khanty,töɣtəm,louse,a,60.10378,79.873651,Ugric
Nganasan,[Form not found],louse,?,73.1354,86.2106,Samoyed
Tundra Nenets,pəncyeq°,louse,c,66.1775,71.0234,Samoyed
Selkup,unču,louse,d,65.7035,82.4441,Samoyed
Proto-Uralic*,*nimi,name,a,NA,NA,(reconstr.)
South Saami,nomme,name,a,62.8801,13.7006,Saami
Ume Saami,namma,name,a,64.6383,18.646,Saami
Pite Saami,namma,name,a,66.4011,17.4261,Saami
North Saami,namma,name,a,68.725,22.1113,Saami
Inari Saami,nomma,name,a,69.4229,27.8658,Saami
Skolt Saami,nõmm,name,a,68.8326,29.7204,Saami
Kildin Saami,nēmm,name,a,68.2158,35.8348,Saami
Standard Finnish,nimi,name,a,64.7628,25.5577,Finnic
